locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
1213281,"BOWL'D ACAI, LLC.",Truck,9301000,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),451 MONTGOMERY ST,240001,240,1,18MFF-0102,APPROVED,Acai Bowls: Smoothies: Juices,6011767.937,2117013.017,37.79357693,-122.4032299,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0102&ExportPDF=1&Filename=18MFF-0102_schedule.pdf,Mo/We/Fr:9AM-3PM,,10/10/2018 0:00,9/4/2018,0,7/15/2019 0:00,"(37.7935769332618, -122.403229876701)"
1171819,Faith Sandwich,Push Cart,8627000,MAIN ST: MARKET ST to MISSION ST (1 - 99),58 MAIN ST,3711005,3711,5,18MFF-0032,REQUESTED,BBQ PORK SANDWICHGRILL CHICKEN SANDWICHSHIRMP SPRING ROLLSBBQ PORK OVER RICEGRILL CHICKEN OVER RICEBBQ PORK VERMICELLIGRILL CHICKEN VERMICELLIBBQ PORK GARLIC NOODLEGRILL CHICKEN GARLIC NOODLE,6013902.41,2116435.193,37.79210934,-122.3958039,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0032&ExportPDF=1&Filename=18MFF-0032_schedule.pdf,Mo-Fr:8AM-5PM,10/12/2018 0:00,,6/6/2018,0,7/15/2019 0:00,"(37.792109338609, -122.395803865502)"
1222440,Faith Sandwich,Push Cart,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),560 MISSION ST,3708095,3708,95,18MFF-0108,REQUESTED,BBQ PORK SANDWICHGRILL CHICKEN SANDWICHSHIRMP SPRING ROLLSBBQ PORK OVER RICEGRILL CHICKEN OVER RICEBBQ PORK VERMICELLIGRILL CHICKEN VERMICELLIBBQ PORK GARLIC NOODLEGRILL CHICKEN GARLIC NOODLE,6012851.27,2115274.827,37.78886472,-122.3993594,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0108&ExportPDF=1&Filename=18MFF-0108_schedule.pdf,Mo-Fr:8AM-3PM,10/12/2018 0:00,,9/25/2018,0,7/15/2019 0:00,"(37.788864715343, -122.399359351363)"
1152244,San Francisco's Hometown Creamery,Truck,6109000,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),281 GEARY ST,314013,314,13,17MFF-0001,APPROVED,Ice cream,6010423.418,2114694.802,37.78713649,-122.4077185,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0001&ExportPDF=1&Filename=17MFF-0001_schedule.pdf,Su:11AM-11PM;Fr/Sa:6PM-11PM,,10/16/2018 0:00,1/9/2017,0,7/15/2019 0:00,"(37.7871364910861, -122.407718509001)"
751253,Pipo's Grill,Truck,5688000,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,3549083,3549,83,16MFF-0010,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,6007856.719,2107724.046,37.76785244,-122.4161049,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0010&ExportPDF=1&Filename=16MFF-0010_schedule.pdf,,,,2/4/2016,0,,"(37.7678524427181, -122.416104892532)"
735318,Ziaurehman Amini,Push Cart,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,234017,234,17,15MFF-0159,REQUESTED,,6013916.72,2117244.027,37.794331,-122.3958111,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,12/31/2015,0,3/15/2016 0:00,"(37.7943310032468, -122.395811053023)"
364218,The Chai Cart,Push Cart,9543000,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,3707014,3707,14,12MFF-0083,SUSPEND,Hot Indian Chai (Tea),6012504.312,2114926.774,37.7878897,-122.4005353,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf,Mo-Su:7AM-6PM,,,4/3/2012,0,,"(37.7878896999061, -122.400535326777)"
735315,Ziaurehman Amini,Push Cart,4969000,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,264004,264,4,15MFF-0159,REQUESTED,,6013552.57,2116844.5,37.79321373,-122.397043,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,12/31/2015,0,3/15/2016 0:00,"(37.7932137316634, -122.397043036718)"
773095,Athena SF Gyro,Push Cart,30747000,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,3506004,3506,4,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6006927.466,2110076.439,37.77425926,-122.419486,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,We/Th/Fr:6AM-6PM,,,9/1/2015,0,,"(37.77425926306, -122.419485988398)"
773105,Athena SF Gyro,Push Cart,417000,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,3783009,3783,9,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6011509.501,2108803.834,37.771022,-122.4035463,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,Mo-We:6AM-6PM,,,9/1/2015,0,,"(37.7710219992437, -122.403546254184)"
